FOE,DisciplineAb,Discipline,Colour,X,Y,alpha
HEALTH,CoT,Complementary Therapies,#FF5DE4,0.1173,0.7786,0
HEALTH,Den,Dental Studies,#FF5DE4,0.1251,0.5346,0
HEALTH,Med,Medical Studies,#FF5DE4,0.8042,0.5835,0.5
HEALTH,Nrs,Nursing,#FF5DE4,0.9106,0.8361,0.5
HEALTH,Opt,Optical Studies,#FF5DE4,0.0497,0.8073,0
HEALTH,OtH,Other Health,#FF5DE4,0.6752,0.934,0.5
HEALTH,Pha,Pharmacy,#FF5DE4,0.1896,0.1818,0
HEALTH,PbH,Public Health,#FF5DE4,0.5408,0.7692,0.5
HEALTH,Rad,Radiography,#FF5DE4,0.0707,0.7226,0
HEALTH,ReT,Rehabilitation Therapies,#FF5DE4,0.6014,0.9472,0.5
HEALTH,Vet,Veterinary Studies,#FF5DE4,0.1639,0.7024,0
INFORMATION TECHNOLOGY,CSc,Computer Science,#54FEFF,0.7009,0.9845,0.5
INFORMATION TECHNOLOGY,InS,Information Systems,#54FEFF,0.6581,0.8803,0.5
INFORMATION TECHNOLOGY,OIT,Other Information Technology,#54FEFF,0.3792,0.9643,0
MANAGEMENT AND COMMERCE,Acc,Accounting,#21A57A,0.8974,0.5773,0.5
MANAGEMENT AND COMMERCE,B&F,"Banking, Finance and Related Fields",#21A57A,0.8166,0.6255,0.5
MANAGEMENT AND COMMERCE,B&M,Business and Management,#21A57A,0.9518,0.7918,0.5
MANAGEMENT AND COMMERCE,Off,Office Studies,#21A57A,0.0886,0.3869,0
MANAGEMENT AND COMMERCE,OMC,Other Management and Commerce,#21A57A,0.3357,0.7001,0
MANAGEMENT AND COMMERCE,S&M,Sales and Marketing,#21A57A,0.8151,0.2168,0
MANAGEMENT AND COMMERCE,Tou,Tourism,#21A57A,0.0622,0.0303,0
MIXED FIELD PROGRAMS,GEP,General Education Programs,,0.1647,0.9565,0
NATURAL AND PHYSICAL SCIENCE,BiS,Biological Sciences,#2CED0B,0.8897,0.5159,0.5
NATURAL AND PHYSICAL SCIENCE,ChS,Chemical Sciences,#2CED0B,0.3722,0.3636,0
NATURAL AND PHYSICAL SCIENCE,ErS,Earth Sciences,#2CED0B,0.1974,0.094,0
NATURAL AND PHYSICAL SCIENCE,MaS,Mathematical Sciences,#2CED0B,0.8159,0.6651,0.5
NATURAL AND PHYSICAL SCIENCE,OSc,Other Natural and Physical Sciences,#2CED0B,0.6224,0.9161,0.5
NATURAL AND PHYSICAL SCIENCE,Phs,Physics and Astronomy,#2CED0B,0.3675,0.6659,0
SOCIETY AND CULTURE,BeS,Behavioural Sciences,#AD4374,0.8135,0.4577,0
SOCIETY AND CULTURE,Eco,Economics and Econometrics,#AD4374,0.8019,0.4227,0
SOCIETY AND CULTURE,HWS,Human Welfare Studies and Services,#AD4374,0.5695,0.8772,0.5
SOCIETY AND CULTURE,Jus,Justice and Law Enforcement,#AD4374,0.3124,0.0862,0
SOCIETY AND CULTURE,L&L,Language and Literature,#AD4374,0.7125,0.1787,0
SOCIETY AND CULTURE,Law,Law,#AD4374,0.9037,0.5439,0.5
SOCIETY AND CULTURE,Lib,"Librarianship, Information Management and Curatorial Studies",#AD4374,0.0676,0.2059,0
SOCIETY AND CULTURE,OSo,Other Society and Culture,#AD4374,0.3745,0.9184,0
SOCIETY AND CULTURE,PhR,Philosophy and Religious Studies,#AD4374,0.4204,0.2758,0
SOCIETY AND CULTURE,PSc,Political Science and Policy Studies,#AD4374,0.4274,0.3901,0
SOCIETY AND CULTURE,SpR,Sport and Recreation,#AD4374,0.08,0.0645,0
SOCIETY AND CULTURE,SHS,Studies in Human Society,#AD4374,0.9044,0.2696,0
